[ T - L E T ]
    title = [t-let] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 1
   l-type =    3            # l-mesh is log given by lmin, lmax and nl
     lmin =  1.0000000E-02  # minimum value of l-mesh points
     lmax =   10000.00      # maximum value of l-mesh points
#    ldel =  7.6752836E-02  # mesh width of l-mesh points
       nl =  180            # number of l-mesh points
#    data = ( l(i), i = 1, nl + 1 )
#           1.00000E-02  1.07978E-02  1.16591E-02  1.25893E-02  1.35936E-02
#           1.46780E-02  1.58489E-02  1.71133E-02  1.84785E-02  1.99526E-02
#           2.15443E-02  2.32631E-02  2.51189E-02  2.71227E-02  2.92864E-02
#           3.16228E-02  3.41455E-02  3.68695E-02  3.98107E-02  4.29866E-02
#           4.64159E-02  5.01187E-02  5.41170E-02  5.84341E-02  6.30957E-02
#           6.81292E-02  7.35642E-02  7.94328E-02  8.57696E-02  9.26119E-02
#           1.00000E-01  1.07978E-01  1.16591E-01  1.25893E-01  1.35936E-01
#           1.46780E-01  1.58489E-01  1.71133E-01  1.84785E-01  1.99526E-01
#           2.15443E-01  2.32631E-01  2.51189E-01  2.71227E-01  2.92864E-01
#           3.16228E-01  3.41455E-01  3.68695E-01  3.98107E-01  4.29866E-01
#           4.64159E-01  5.01187E-01  5.41170E-01  5.84341E-01  6.30957E-01
#           6.81292E-01  7.35642E-01  7.94328E-01  8.57696E-01  9.26119E-01
#           1.00000E+00  1.07978E+00  1.16591E+00  1.25893E+00  1.35936E+00
#           1.46780E+00  1.58489E+00  1.71133E+00  1.84785E+00  1.99526E+00
#           2.15443E+00  2.32631E+00  2.51189E+00  2.71227E+00  2.92864E+00
#           3.16228E+00  3.41455E+00  3.68695E+00  3.98107E+00  4.29866E+00
#           4.64159E+00  5.01187E+00  5.41170E+00  5.84341E+00  6.30957E+00
#           6.81292E+00  7.35642E+00  7.94328E+00  8.57696E+00  9.26119E+00
#           1.00000E+01  1.07978E+01  1.16591E+01  1.25893E+01  1.35936E+01
#           1.46780E+01  1.58489E+01  1.71133E+01  1.84785E+01  1.99526E+01
#           2.15443E+01  2.32631E+01  2.51189E+01  2.71227E+01  2.92864E+01
#           3.16228E+01  3.41455E+01  3.68695E+01  3.98107E+01  4.29866E+01
#           4.64159E+01  5.01187E+01  5.41170E+01  5.84341E+01  6.30957E+01
#           6.81292E+01  7.35642E+01  7.94328E+01  8.57696E+01  9.26119E+01
#           1.00000E+02  1.07978E+02  1.16591E+02  1.25893E+02  1.35936E+02
#           1.46780E+02  1.58489E+02  1.71133E+02  1.84785E+02  1.99526E+02
#           2.15443E+02  2.32631E+02  2.51189E+02  2.71227E+02  2.92864E+02
#           3.16228E+02  3.41455E+02  3.68695E+02  3.98107E+02  4.29866E+02
#           4.64159E+02  5.01187E+02  5.41170E+02  5.84341E+02  6.30957E+02
#           6.81292E+02  7.35642E+02  7.94328E+02  8.57696E+02  9.26119E+02
#           1.00000E+03  1.07978E+03  1.16591E+03  1.25893E+03  1.35936E+03
#           1.46780E+03  1.58489E+03  1.71133E+03  1.84785E+03  1.99526E+03
#           2.15443E+03  2.32631E+03  2.51189E+03  2.71227E+03  2.92864E+03
#           3.16228E+03  3.41455E+03  3.68695E+03  3.98107E+03  4.29866E+03
#           4.64159E+03  5.01187E+03  5.41170E+03  5.84341E+03  6.30957E+03
#           6.81292E+03  7.35642E+03  7.94328E+03  8.57696E+03  9.26119E+03
#           1.00000E+04
     unit =    2            # unit is [MeV/(keV/um)/source]
   letmat =    5            # (D=0) material id for LET, 0: real material
 material =  all            # (D=all) number of specific material
     axis =  let            # axis of output
     file = letr.out        # file name of output for the above axis
     part =  all      
# kf/name :  0        
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         543 (  0)         183 (  0)         726 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    1

x: LET [keV/um]
y: Dose [MeV/(keV/um)/source]       
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l  n  
#  let-lwr      let-upr         LET      r.err 
   1.8478E+00   1.9953E+00   0.0000E+00  0.0000
   1.9953E+00   2.1544E+00   0.0000E+00  0.0000
   2.1544E+00   2.3263E+00   0.0000E+00  0.0000
   2.3263E+00   2.5119E+00   0.0000E+00  0.0000
   2.5119E+00   2.7123E+00   0.0000E+00  0.0000
   2.7123E+00   2.9286E+00   0.0000E+00  0.0000
   2.9286E+00   3.1623E+00   0.0000E+00  0.0000
   3.1623E+00   3.4145E+00   0.0000E+00  0.0000
   3.4145E+00   3.6869E+00   0.0000E+00  0.0000
   3.6869E+00   3.9811E+00   0.0000E+00  0.0000
   3.9811E+00   4.2987E+00   0.0000E+00  0.0000
   4.2987E+00   4.6416E+00   0.0000E+00  0.0000
   4.6416E+00   5.0119E+00   0.0000E+00  0.0000
   5.0119E+00   5.4117E+00   0.0000E+00  0.0000
   5.4117E+00   5.8434E+00   0.0000E+00  0.0000
   5.8434E+00   6.3096E+00   0.0000E+00  0.0000
   6.3096E+00   6.8129E+00   0.0000E+00  0.0000
   6.8129E+00   7.3564E+00   0.0000E+00  0.0000
   7.3564E+00   7.9433E+00   0.0000E+00  0.0000
   7.9433E+00   8.5770E+00   0.0000E+00  0.0000
   8.5770E+00   9.2612E+00   0.0000E+00  0.0000
   9.2612E+00   1.0000E+01   0.0000E+00  0.0000
   1.0000E+01   1.0798E+01   0.0000E+00  0.0000
   1.0798E+01   1.1659E+01   0.0000E+00  0.0000
   1.1659E+01   1.2589E+01   0.0000E+00  0.0000
   1.2589E+01   1.3594E+01   0.0000E+00  0.0000
   1.3594E+01   1.4678E+01   0.0000E+00  0.0000
   1.4678E+01   1.5849E+01   0.0000E+00  0.0000
   1.5849E+01   1.7113E+01   0.0000E+00  0.0000
   1.7113E+01   1.8478E+01   0.0000E+00  0.0000
   1.8478E+01   1.9953E+01   0.0000E+00  0.0000
   1.9953E+01   2.1544E+01   0.0000E+00  0.0000
   2.1544E+01   2.3263E+01   0.0000E+00  0.0000
   2.3263E+01   2.5119E+01   0.0000E+00  0.0000
   2.5119E+01   2.7123E+01   0.0000E+00  0.0000
   2.7123E+01   2.9286E+01   0.0000E+00  0.0000
   2.9286E+01   3.1623E+01   0.0000E+00  0.0000
   3.1623E+01   3.4145E+01   0.0000E+00  0.0000
   3.4145E+01   3.6869E+01   0.0000E+00  0.0000
   3.6869E+01   3.9811E+01   0.0000E+00  0.0000
   3.9811E+01   4.2987E+01   0.0000E+00  0.0000
   4.2987E+01   4.6416E+01   0.0000E+00  0.0000
   4.6416E+01   5.0119E+01   0.0000E+00  0.0000
   5.0119E+01   5.4117E+01   0.0000E+00  0.0000
   5.4117E+01   5.8434E+01   0.0000E+00  0.0000
   5.8434E+01   6.3096E+01   0.0000E+00  0.0000
   6.3096E+01   6.8129E+01   0.0000E+00  0.0000
   6.8129E+01   7.3564E+01   0.0000E+00  0.0000
   7.3564E+01   7.9433E+01   0.0000E+00  0.0000
   7.9433E+01   8.5770E+01   0.0000E+00  0.0000
   8.5770E+01   9.2612E+01   0.0000E+00  0.0000
   9.2612E+01   1.0000E+02   0.0000E+00  0.0000
   1.0000E+02   1.0798E+02   0.0000E+00  0.0000
   1.0798E+02   1.1659E+02   0.0000E+00  0.0000
   1.1659E+02   1.2589E+02   0.0000E+00  0.0000
   1.2589E+02   1.3594E+02   0.0000E+00  0.0000
   1.3594E+02   1.4678E+02   0.0000E+00  0.0000
   1.4678E+02   1.5849E+02   0.0000E+00  0.0000
   1.5849E+02   1.7113E+02   1.2824E-01  0.0000
   1.7113E+02   1.8478E+02   0.0000E+00  0.0000
   1.8478E+02   1.9953E+02   0.0000E+00  0.0000
   1.9953E+02   2.1544E+02   0.0000E+00  0.0000
   2.1544E+02   2.3263E+02   0.0000E+00  0.0000
   2.3263E+02   2.5119E+02   0.0000E+00  0.0000
   2.5119E+02   2.7123E+02   0.0000E+00  0.0000
   2.7123E+02   2.9286E+02   0.0000E+00  0.0000
   2.9286E+02   3.1623E+02   0.0000E+00  0.0000
   3.1623E+02   3.4145E+02   0.0000E+00  0.0000
   3.4145E+02   3.6869E+02   0.0000E+00  0.0000
   3.6869E+02   3.9811E+02   0.0000E+00  0.0000
   3.9811E+02   4.2987E+02   0.0000E+00  0.0000
   4.2987E+02   4.6416E+02   0.0000E+00  0.0000
   4.6416E+02   5.0119E+02   0.0000E+00  0.0000
   5.0119E+02   5.4117E+02   0.0000E+00  0.0000
   5.4117E+02   5.8434E+02   0.0000E+00  0.0000
   5.8434E+02   6.3096E+02   0.0000E+00  0.0000
   6.3096E+02   6.8129E+02   0.0000E+00  0.0000
   6.8129E+02   7.3564E+02   0.0000E+00  0.0000
   7.3564E+02   7.9433E+02   0.0000E+00  0.0000
   7.9433E+02   8.5770E+02   0.0000E+00  0.0000
   8.5770E+02   9.2612E+02   0.0000E+00  0.0000
   9.2612E+02   1.0000E+03   0.0000E+00  0.0000
   1.0000E+03   1.0798E+03   0.0000E+00  0.0000
   1.0798E+03   1.1659E+03   0.0000E+00  0.0000
   1.1659E+03   1.2589E+03   0.0000E+00  0.0000
   1.2589E+03   1.3594E+03   0.0000E+00  0.0000
   1.3594E+03   1.4678E+03   0.0000E+00  0.0000
   1.4678E+03   1.5849E+03   0.0000E+00  0.0000
   1.5849E+03   1.7113E+03   0.0000E+00  0.0000
   1.7113E+03   1.8478E+03   0.0000E+00  0.0000
   1.8478E+03   1.9953E+03   0.0000E+00  0.0000
   1.9953E+03   2.1544E+03   0.0000E+00  0.0000
   2.1544E+03   2.3263E+03   0.0000E+00  0.0000
   2.3263E+03   2.5119E+03   0.0000E+00  0.0000
   2.5119E+03   2.7123E+03   0.0000E+00  0.0000
   2.7123E+03   2.9286E+03   0.0000E+00  0.0000
   2.9286E+03   3.1623E+03   0.0000E+00  0.0000
   3.1623E+03   3.4145E+03   0.0000E+00  0.0000
   3.4145E+03   3.6869E+03   0.0000E+00  0.0000
   3.6869E+03   3.9811E+03   0.0000E+00  0.0000
   3.9811E+03   4.2987E+03   0.0000E+00  0.0000
   4.2987E+03   4.6416E+03   0.0000E+00  0.0000
   4.6416E+03   5.0119E+03   0.0000E+00  0.0000
   5.0119E+03   5.4117E+03   0.0000E+00  0.0000
   5.4117E+03   5.8434E+03   0.0000E+00  0.0000
   5.8434E+03   6.3096E+03   0.0000E+00  0.0000
   6.3096E+03   6.8129E+03   0.0000E+00  0.0000
   6.8129E+03   7.3564E+03   0.0000E+00  0.0000
   7.3564E+03   7.9433E+03   0.0000E+00  0.0000
   7.9433E+03   8.5770E+03   0.0000E+00  0.0000
   8.5770E+03   9.2612E+03   0.0000E+00  0.0000
   9.2612E+03   1.0000E+04   0.0000E+00  0.0000

#   sum over                 1.6214E+00  0.0000

'no. =  1,  reg  =      1'
msuc: {\huge [t-let] in region mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
